what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327378519903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378528903
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378599606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378602200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378617340
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.run",1327378622653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378622684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378623934
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378629794
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378727075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378728528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378728919
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327378730465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378733794
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378737887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378738840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378740825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378741575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378748715
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378753294
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378861981
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327378866012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378869012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378872215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378875465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327378875653
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327378879122
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327378879356
